"","vertex","group"
"1","10009160","3"
"2","10100851","2"
"3","10120876","2"
"4","10160384","1"
"5","10188234","1"
"6","10213923","2"
"7","10215284","1"
"8","10247020","2"
"9","10269352","2"
"10","10277669","2"
"11","10294451","2"
"12","10305228","1"
"13","10305398","2"
"14","10315188","2"
"15","10318599","1"
"16","10321448","1"
"17","10328980","2"
"18","10340430","1"
"19","10350450","11"
"20","10464870","1"
"21","10477271","1"
"22","10493802","2"
"23","10521238","2"
"24","10523332","2"
"25","10531936","1"
"26","10539448","2"
"27","10551015","3"
"28","10555320","2"
"29","10557895","1"
"30","10566007","1"
"31","10580855","2"
"32","10589155","8"
"33","10590060","3"
"34","10602448","1"
"35","10610464","3"
"36","10610681","1"
"37","10616032","3"
"38","10617379","2"
"39","10630645","2"
"40","10634447","8"
"41","10636358","3"
"42","10637289","2"
"43","10659579","1"
"44","1065990","2"
"45","10665624","2"
"46","10673564","1"
"47","10675183","2"
"48","10688642","1"
"49","10694135","1"
"50","10697646","1"
"51","10699026","1"
"52","10700612","1"
"53","10759432","2"
"54","10764350","3"
"55","10772462","3"
"56","10775621","1"
"57","10776488","1"
"58","10777278","2"
"59","10802387","2"
"60","10804245","2"
"61","10807795","1"
"62","10809575","3"
"63","10814516","3"
"64","10816745","1"
"65","10823476","2"
"66","10830162","1"
"67","10835229","1"
"68","10846866","2"
"69","10850539","2"
"70","10853600","1"
"71","10855507","1"
"72","10865752","3"
"73","10873128","1"
"74","10879698","11"
"75","10881147","3"
"76","1088318","2"
"77","10889496","1"
"78","10896556","3"
"79","10901173","2"
"80","10904156","1"
"81","10909060","1"
"82","10914293","1"
"83","1091524","5"
"84","10923888","2"
"85","10927434","1"
"86","10940527","2"
"87","10944581","2"
"88","10952689","1"
"89","10963707","3"
"90","10970211","2"
"91","10971799","1"
"92","10983212","1"
"93","10986010","2"
"94","10994111","2"
"95","10994802","1"
"96","11003590","1"
"97","11028490","1"
"98","11029785","1"
"99","11030560","2"
"100","11034937","1"
"101","11035061","1"
"102","11042508","3"
"103","11045969","2"
"104","11048520","2"
"105","11049440","2"
"106","11060428","3"
"107","11067614","1"
"108","11077544","2"
"109","11081320","1"
"110","11081890","2"
"111","11082923","3"
"112","11090032","1"
"113","11096281","1"
"114","11127811","2"
"115","11128079","2"
"116","11129975","1"
"117","11131570","1"
"118","11133493","1"
"119","11138676","1"
"120","11139994","1"
"121","11145412","2"
"122","11153393","3"
"123","11169103","1"
"124","11169625","1"
"125","11170904","2"
"126","11176806","3"
"127","11184531","2"
"128","11189376","2"
"129","11189917","2"
"130","11190715","2"
"131","1119343","2"
"132","11195163","1"
"133","11196636","3"
"134","11196975","6"
"135","11197244","1"
"136","11200147","2"
"137","11201970","2"
"138","11202450","1"
"139","11213384","2"
"140","11213473","1"
"141","11214623","1"
"142","11216028","2"
"143","11217708","1"
"144","11230737","2"
"145","11233611","1"
"146","11236411","2"
"147","11238012","3"
"148","11238831","1"
"149","11240067","1"
"150","11246716","3"
"151","11249726","1"
"152","11250721","3"
"153","11263446","1"
"154","11264448","2"
"155","11266785","1"
"156","11270835","2"
"157","11279614","2"
"158","11283610","1"
"159","11287005","2"
"160","11288886","1"
"161","11290626","1"
"162","11292526","1"
"163","11294452","1"
"164","11294792","1"
"165","11295620","3"
"166","11296435","2"
"167","11300846","1"
"168","11303189","2"
"169","11313109","2"
"170","11315997","2"
"171","11320708","1"
"172","11320950","2"
"173","11322163","2"
"174","11323924","1"
"175","11326735","1"
"176","11328527","3"
"177","11348977","1"
"178","1135064","1"
"179","1135205","2"
"180","11362278","1"
"181","11363908","1"
"182","11377251","11"
"183","11384514","2"
"184","11392031","2"
"185","11397450","1"
"186","11397794","1"
"187","11398078","1"
"188","11398510","1"
"189","11398983","3"
"190","11403068","1"
"191","1140423","1"
"192","11411823","2"
"193","11417292","1"
"194","11423684","2"
"195","11424413","3"
"196","11425409","1"
"197","11426475","2"
"198","11426888","2"
"199","11427455","2"
"200","11434665","1"
"201","11437231","2"
"202","11439460","2"
"203","11444647","2"
"204","11448890","1"
"205","11462102","3"
"206","1146310","1"
"207","11466011","3"
"208","11470342","2"
"209","11477375","2"
"210","11480352","1"
"211","11480756","1"
"212","11488301","3"
"213","11489106","2"
"214","11491302","3"
"215","1151660","1"
"216","11517592","1"
"217","11522297","1"
"218","11525595","1"
"219","11527760","2"
"220","11531304","1"
"221","11542470","2"
"222","11557701","1"
"223","11565778","2"
"224","11580031","1"
"225","11583504","1"
"226","11591997","2"
"227","11593903","2"
"228","11599520","1"
"229","1160711","3"
"230","11613557","2"
"231","11616178","1"
"232","11617706","2"
"233","116197","2"
"234","11626694","1"
"235","11630288","3"
"236","11636017","2"
"237","11636644","2"
"238","11640186","1"
"239","11650458","1"
"240","11655740","1"
"241","11658048","3"
"242","11661495","2"
"243","11666053","8"
"244","11673923","2"
"245","11675124","1"
"246","11685733","3"
"247","11688943","1"
"248","11689045","1"
"249","11695477","2"
"250","1170012","1"
"251","11712942","1"
"252","11713504","1"
"253","11714580","1"
"254","11721392","1"
"255","11721688","2"
"256","11729400","2"
"257","11737417","2"
"258","11740572","2"
"259","11742573","1"
"260","11747370","10"
"261","11748079","2"
"262","11748669","1"
"263","11749263","2"
"264","11753440","1"
"265","11759617","2"
"266","11761687","3"
"267","11779638","11"
"268","11781650","3"
"269","11782945","2"
"270","11797597","2"
"271","1180118","1"
"272","11806222","1"
"273","11810774","1"
"274","11824902","1"
"275","11826751","2"
"276","11827754","2"
"277","11831230","3"
"278","11837513","1"
"279","11846805","3"
"280","11847247","2"
"281","11851697","1"
"282","11853342","3"
"283","11859427","1"
"284","11870223","2"
"285","11872750","1"
"286","11873744","2"
"287","11888108","1"
"288","1189079","1"
"289","11891520","2"
"290","11891919","2"
"291","11892844","1"
"292","11900562","6"
"293","11900650","2"
"294","11900958","2"
"295","11901944","1"
"296","11914726","1"
"297","11914973","1"
"298","11919272","2"
"299","11922801","1"
"300","11930077","1"
"301","11930886","2"
"302","11932160","3"
"303","11934722","1"
"304","11937275","3"
"305","11939438","2"
"306","11943384","1"
"307","11947827","2"
"308","11957604","6"
"309","11965662","6"
"310","11965889","3"
"311","11967332","3"
"312","1197042","6"
"313","12004345","1"
"314","12009434","1"
"315","12015400","2"
"316","12020406","3"
"317","12021175","1"
"318","12021835","1"
"319","12027124","1"
"320","12039558","2"
"321","12046549","3"
"322","12053566","1"
"323","12066692","2"
"324","12073107","2"
"325","12085118","1"
"326","12086108","1"
"327","12089568","2"
"328","12092805","10"
"329","12093516","1"
"330","12096209","1"
"331","12105577","3"
"332","12106916","1"
"333","12137580","3"
"334","12139243","3"
"335","12140339","1"
"336","12142038","1"
"337","12145525","1"
"338","12146496","1"
"339","12149336","1"
"340","1215066","1"
"341","12151047","10"
"342","12154733","2"
"343","12160933","2"
"344","12164206","3"
"345","12164958","2"
"346","12169725","1"
"347","12174979","1"
"348","12183228","1"
"349","12183777","2"
"350","12192586","1"
"351","12201651","2"
"352","12205860","1"
"353","12210736","3"
"354","12247385","1"
"355","12247901","1"
"356","12249669","1"
"357","1224972","2"
"358","12250934","1"
"359","12260375","2"
"360","12271417","2"
"361","12271756","1"
"362","12284973","1"
"363","12298718","1"
"364","12302422","2"
"365","12306133","3"
"366","12310526","2"
"367","12316074","1"
"368","12317197","3"
"369","12319825","1"
"370","12336792","2"
"371","12342027","3"
"372","12342503","2"
"373","12345551","1"
"374","12348270","1"
"375","12349045","2"
"376","12358620","6"
"377","12359932","3"
"378","12360685","3"
"379","12374691","1"
"380","12377746","3"
"381","12382306","3"
"382","12384798","1"
"383","12388864","10"
"384","12395028","2"
"385","12401925","2"
"386","12403790","1"
"387","12403965","1"
"388","12415929","2"
"389","12419146","2"
"390","12433593","1"
"391","12439363","1"
"392","1245843","1"
"393","12464333","3"
"394","12470628","1"
"395","12479894","1"
"396","12483413","2"
"397","12485526","2"
"398","12487663","3"
"399","12487894","3"
"400","12490945","3"
"401","12492654","3"
"402","12503176","3"
"403","12516449","1"
"404","12531644","1"
"405","12531836","1"
"406","12532033","2"
"407","12542617","3"
"408","12552430","3"
"409","12556512","2"
"410","12563531","2"
"411","12564476","1"
"412","12568026","2"
"413","12569022","6"
"414","12570016","1"
"415","12575344","1"
"416","12597931","2"
"417","12607329","4"
"418","12608669","1"
"419","12609851","1"
"420","12611469","3"
"421","12617899","2"
"422","12618269","1"
"423","12618955","1"
"424","12627540","3"
"425","12627700","3"
"426","12636723","37"
"427","12645990","2"
"428","12666323","3"
"429","12666937","1"
"430","12675472","2"
"431","12683233","2"
"432","12686019","1"
"433","12704862","1"
"434","12716513","3"
"435","12718189","3"
"436","12728552","1"
"437","12736132","1"
"438","12736362","3"
"439","12736371","3"
"440","12742706","1"
"441","12749331","2"
"442","12749612","3"
"443","12750969","3"
"444","12762413","1"
"445","12763610","34"
"446","12764229","3"
"447","12764955","2"
"448","12776116","3"
"449","12783555","1"
"450","12790122","2"
"451","12795830","1"
"452","12796302","2"
"453","12798609","2"
"454","12801493","2"
"455","12801497","1"
"456","12804160","3"
"457","12807276","1"
"458","12807675","1"
"459","12808563","1"
"460","1281489","1"
"461","12816020","2"
"462","12817587","1"
"463","12819007","2"
"464","12822970","2"
"465","12823284","1"
"466","12824068","1"
"467","12825570","1"
"468","12827102","3"
"469","12827670","2"
"470","12836990","1"
"471","12850623","1"
"472","12851233","3"
"473","12853681","2"
"474","12862535","2"
"475","12864193","1"
"476","12868232","3"
"477","12870626","3"
"478","12872558","3"
"479","12883187","2"
"480","12884483","1"
"481","12884753","2"
"482","12887659","1"
"483","12890133","2"
"484","12892521","2"
"485","12911246","2"
"486","12914167","2"
"487","12916338","4"
"488","12917731","2"
"489","12920458","1"
"490","12924439","2"
"491","12925818","1"
"492","12926521","1"
"493","12927556","1"
"494","12927617","1"
"495","12929682","1"
"496","12935513","1"
"497","12943861","2"
"498","12948855","4"
"499","12951977","2"
"500","12952194","2"
"501","12952232","1"
"502","12953959","3"
"503","12958619","1"
"504","12958803","2"
"505","12963434","3"
"506","12970557","3"
"507","12971433","1"
"508","12975042","1"
"509","12976357","2"
"510","12977939","1"
"511","12981804","2"
"512","1298925","3"
"513","12989277","1"
"514","12994052","1"
"515","13003038","1"
"516","13004093","1"
"517","13004815","2"
"518","13005266","2"
"519","13009155","3"
"520","13010690","2"
"521","13012647","1"
"522","13012944","1"
"523","13013960","1"
"524","13014330","1"
"525","1301496","1"
"526","13018544","1"
"527","13018906","3"
"528","13032032","3"
"529","13038439","1"
"530","13042766","1"
"531","13044480","1"
"532","13047138","2"
"533","13057041","1"
"534","13058036","3"
"535","13060119","1"
"536","13060677","3"
"537","13067422","1"
"538","13071154","1"
"539","13071698","1"
"540","13072909","1"
"541","13076956","2"
"542","1308598","2"
"543","13087218","1"
"544","13088573","3"
"545","13089124","2"
"546","13089870","1"
"547","13098940","2"
"548","13099705","1"
"549","13104885","1"
"550","13114967","1"
"551","13120459","1"
"552","13122283","1"
"553","13127576","3"
"554","13127864","2"
"555","13130689","3"
"556","13136496","2"
"557","13142991","2"
"558","13147813","3"
"559","13147844","3"
"560","13151639","1"
"561","13153452","1"
"562","13154207","1"
"563","13158828","1"
"564","13168142","2"
"565","13168902","1"
"566","13169939","2"
"567","13173617","2"
"568","13175970","1"
"569","13176528","2"
"570","13177558","1"
"571","13177648","2"
"572","13182052","1"
"573","13182997","1"
"574","13183371","1"
"575","13185192","2"
"576","13196728","1"
"577","13199592","3"
"578","13201028","3"
"579","13202630","2"
"580","13206908","3"
"581","13207607","2"
"582","13211308","1"
"583","13212543","2"
"584","13213824","3"
"585","13214308","1"
"586","13220786","2"
"587","13221421","3"
"588","13222824","2"
"589","13230351","2"
"590","13232158","1"
"591","13238000","1"
"592","13244250","1"
"593","13249661","1"
"594","13260106","2"
"595","13263704","3"
"596","13270912","1"
"597","13271519","2"
"598","13274931","2"
"599","13277334","1"
"600","13282680","1"
"601","13311213","1"
"602","13322379","1"
"603","13326700","2"
"604","13328187","4"
"605","13336337","1"
"606","13341185","3"
"607","13346228","2"
"608","13347026","2"
"609","13351975","3"
"610","13354573","2"
"611","13356795","2"
"612","13363415","3"
"613","13363427","5"
"614","1337084","1"
"615","13379302","1"
"616","13387364","2"
"617","13399619","3"
"618","13402863","1"
"619","13404410","1"
"620","13408189","2"
"621","13409870","3"
"622","1341026","1"
"623","13410981","1"
"624","1341684","1"
"625","13421681","1"
"626","13423212","1"
"627","13428920","2"
"628","13433336","8"
"629","13443505","1"
"630","13450214","1"
"631","13458074","1"
"632","13461104","2"
"633","13461752","1"
"634","13467258","1"
"635","13470640","2"
"636","13472228","2"
"637","13474105","1"
"638","13479357","3"
"639","1349341","2"
"640","13501587","1"
"641","13508703","1"
"642","13510694","1"
"643","13532554","1"
"644","13533073","5"
"645","13533501","2"
"646","1354182","1"
"647","13543977","1"
"648","13547715","2"
"649","13555544","3"
"650","13558552","1"
"651","13560286","1"
"652","13560364","1"
"653","13561272","1"
"654","13561621","1"
"655","13573454","1"
"656","13586927","1"
"657","13587386","1"
"658","13588319","2"
"659","13589472","1"
"660","13593043","3"
"661","13598576","1"
"662","13602134","1"
"663","13607337","1"
"664","1361010","1"
"665","1361132","2"
"666","13612346","3"
"667","13612372","3"
"668","13614732","3"
"669","13623969","1"
"670","1362588","3"
"671","1362589","1"
"672","13627976","1"
"673","13630460","3"
"674","13636217","4"
"675","13642223","3"
"676","13643189","1"
"677","13645695","1"
"678","13647269","3"
"679","13647273","1"
"680","13650932","2"
"681","13657138","1"
"682","13670761","1"
"683","13680386","2"
"684","13681964","2"
"685","13682421","1"
"686","13683129","2"
"687","13691153","1"
"688","13695497","1"
"689","13696020","2"
"690","13697026","1"
"691","13697084","2"
"692","13700315","1"
"693","13703060","1"
"694","13706905","14"
"695","13710356","1"
"696","13710569","2"
"697","13714561","2"
"698","13720364","1"
"699","13720381","1"
"700","13722970","1"
"701","13729407","1"
"702","13730744","2"
"703","13742343","2"
"704","13744910","2"
"705","13749740","2"
"706","13749884","2"
"707","13750879","2"
"708","13751328","2"
"709","13754379","2"
"710","13756396","2"
"711","13762289","2"
